MATCH: phishing_mails/0 -> similarity=1297.00, yara_score=0.00, total=1297.00
MATCH: phishing_mails/1 -> similarity=1481.00, yara_score=0.00, total=1481.00
MATCH: phishing_mails/2 -> similarity=1525.00, yara_score=0.00, total=1525.00
NO MATCH: phishing_mails/3 -> similarity=640.00, yara_score=0.00, total=640.00
MATCH: phishing_mails/4 -> similarity=972.00, yara_score=0.00, total=972.00
NO MATCH: phishing_mails/5 -> similarity=625.00, yara_score=0.00, total=625.00
MATCH: phishing_mails/6 -> similarity=1999.00, yara_score=0.00, total=1999.00
MATCH: phishing_mails/7 -> similarity=1005.00, yara_score=0.00, total=1005.00
MATCH: phishing_mails/8 -> similarity=4399.00, yara_score=0.00, total=4399.00
MATCH: phishing_mails/9 -> similarity=1318.00, yara_score=0.00, total=1318.00
NO MATCH: phishing_mails/10 -> similarity=624.00, yara_score=0.00, total=624.00
MATCH: phishing_mails/11 -> similarity=1078.00, yara_score=0.00, total=1078.00
MATCH: phishing_mails/12 -> similarity=988.00, yara_score=0.00, total=988.00
MATCH: phishing_mails/13 -> similarity=1508.00, yara_score=0.00, total=1508.00
MATCH: phishing_mails/14 -> similarity=931.00, yara_score=0.00, total=931.00
MATCH: phishing_mails/15 -> similarity=1415.00, yara_score=0.00, total=1415.00
MATCH: phishing_mails/16 -> similarity=1242.00, yara_score=0.00, total=1242.00
MATCH: phishing_mails/17 -> similarity=1288.00, yara_score=0.00, total=1288.00
MATCH: phishing_mails/18 -> similarity=4469.00, yara_score=0.00, total=4469.00
NO MATCH: phishing_mails/19 -> similarity=539.00, yara_score=0.00, total=539.00
MATCH: phishing_mails/20 -> similarity=2245.00, yara_score=0.00, total=2245.00
NO MATCH: phishing_mails/21 -> similarity=333.00, yara_score=0.00, total=333.00
NO MATCH: phishing_mails/22 -> similarity=414.00, yara_score=0.00, total=414.00
MATCH: phishing_mails/23 -> similarity=3302.00, yara_score=0.00, total=3302.00
MATCH: phishing_mails/24 -> similarity=4759.00, yara_score=0.00, total=4759.00
