MATCH: phishing_mails/0 -> similarity=2084.00, yara_score=0.00, total=2084.00
MATCH: phishing_mails/1 -> similarity=4842.00, yara_score=0.00, total=4842.00
MATCH: phishing_mails/2 -> similarity=2217.00, yara_score=0.00, total=2217.00
MATCH: phishing_mails/3 -> similarity=876.00, yara_score=0.00, total=876.00
NO MATCH: phishing_mails/4 -> similarity=548.00, yara_score=0.00, total=548.00
MATCH: phishing_mails/5 -> similarity=722.00, yara_score=0.00, total=722.00
MATCH: phishing_mails/6 -> similarity=3437.00, yara_score=0.00, total=3437.00
NO MATCH: phishing_mails/7 -> similarity=388.00, yara_score=0.00, total=388.00
NO MATCH: phishing_mails/8 -> similarity=511.00, yara_score=0.00, total=511.00
MATCH: phishing_mails/9 -> similarity=4155.00, yara_score=0.00, total=4155.00
MATCH: phishing_mails/10 -> similarity=1397.00, yara_score=0.00, total=1397.00
NO MATCH: phishing_mails/11 -> similarity=541.00, yara_score=0.00, total=541.00
NO MATCH: phishing_mails/12 -> similarity=682.00, yara_score=0.00, total=682.00
NO MATCH: phishing_mails/13 -> similarity=418.00, yara_score=0.00, total=418.00
MATCH: phishing_mails/14 -> similarity=873.00, yara_score=0.00, total=873.00
MATCH: phishing_mails/15 -> similarity=4370.00, yara_score=0.00, total=4370.00
MATCH: phishing_mails/16 -> similarity=2540.00, yara_score=0.00, total=2540.00
MATCH: phishing_mails/17 -> similarity=977.00, yara_score=0.00, total=977.00
MATCH: phishing_mails/18 -> similarity=2032.00, yara_score=0.00, total=2032.00
MATCH: phishing_mails/19 -> similarity=2409.00, yara_score=0.00, total=2409.00
MATCH: phishing_mails/20 -> similarity=3791.00, yara_score=0.00, total=3791.00
MATCH: phishing_mails/21 -> similarity=781.00, yara_score=0.00, total=781.00
NO MATCH: phishing_mails/22 -> similarity=580.00, yara_score=0.00, total=580.00
MATCH: phishing_mails/23 -> similarity=787.00, yara_score=0.00, total=787.00
MATCH: phishing_mails/24 -> similarity=1381.00, yara_score=0.00, total=1381.00
MATCH: phishing_mails/25 -> similarity=794.00, yara_score=0.00, total=794.00
MATCH: phishing_mails/26 -> similarity=808.00, yara_score=0.00, total=808.00
MATCH: phishing_mails/27 -> similarity=1943.00, yara_score=0.00, total=1943.00
MATCH: phishing_mails/28 -> similarity=808.00, yara_score=0.00, total=808.00
MATCH: phishing_mails/29 -> similarity=1154.00, yara_score=0.00, total=1154.00
MATCH: phishing_mails/30 -> similarity=1323.00, yara_score=0.00, total=1323.00
MATCH: phishing_mails/31 -> similarity=1142.00, yara_score=0.00, total=1142.00
MATCH: phishing_mails/32 -> similarity=3586.00, yara_score=0.00, total=3586.00
MATCH: phishing_mails/33 -> similarity=2862.00, yara_score=0.00, total=2862.00
MATCH: phishing_mails/34 -> similarity=869.00, yara_score=0.00, total=869.00
NO MATCH: phishing_mails/35 -> similarity=619.00, yara_score=0.00, total=619.00
MATCH: phishing_mails/36 -> similarity=2384.00, yara_score=0.00, total=2384.00
MATCH: phishing_mails/37 -> similarity=1027.00, yara_score=0.00, total=1027.00
MATCH: phishing_mails/38 -> similarity=1071.00, yara_score=0.00, total=1071.00
NO MATCH: phishing_mails/39 -> similarity=497.00, yara_score=0.00, total=497.00
