MATCH: phishing_mails/0 -> similarity=1432.00, yara_score=0.00, total=1432.00
MATCH: phishing_mails/1 -> similarity=874.00, yara_score=0.00, total=874.00
MATCH: phishing_mails/2 -> similarity=983.00, yara_score=0.00, total=983.00
NO MATCH: phishing_mails/3 -> similarity=426.00, yara_score=0.00, total=426.00
MATCH: phishing_mails/4 -> similarity=726.00, yara_score=0.00, total=726.00
MATCH: phishing_mails/5 -> similarity=1274.00, yara_score=0.00, total=1274.00
NO MATCH: phishing_mails/6 -> similarity=404.00, yara_score=0.00, total=404.00
NO MATCH: phishing_mails/7 -> similarity=419.00, yara_score=0.00, total=419.00
MATCH: phishing_mails/8 -> similarity=13740.00, yara_score=0.00, total=13740.00
MATCH: phishing_mails/9 -> similarity=726.00, yara_score=0.00, total=726.00
MATCH: phishing_mails/10 -> similarity=559.00, yara_score=0.00, total=559.00
MATCH: phishing_mails/11 -> similarity=2193.00, yara_score=0.00, total=2193.00
MATCH: phishing_mails/12 -> similarity=1683.00, yara_score=0.00, total=1683.00
MATCH: phishing_mails/13 -> similarity=3696.00, yara_score=0.00, total=3696.00
MATCH: phishing_mails/14 -> similarity=573.00, yara_score=0.00, total=573.00
MATCH: phishing_mails/15 -> similarity=610.00, yara_score=0.00, total=610.00
MATCH: phishing_mails/16 -> similarity=989.00, yara_score=0.00, total=989.00
MATCH: phishing_mails/17 -> similarity=867.00, yara_score=0.00, total=867.00
MATCH: phishing_mails/18 -> similarity=672.00, yara_score=0.00, total=672.00
MATCH: phishing_mails/19 -> similarity=1042.00, yara_score=0.00, total=1042.00
MATCH: phishing_mails/20 -> similarity=588.00, yara_score=0.00, total=588.00
NO MATCH: phishing_mails/21 -> similarity=407.00, yara_score=0.00, total=407.00
MATCH: phishing_mails/22 -> similarity=1725.00, yara_score=0.00, total=1725.00
MATCH: phishing_mails/23 -> similarity=1051.00, yara_score=0.00, total=1051.00
MATCH: phishing_mails/24 -> similarity=490.00, yara_score=0.00, total=490.00
NO MATCH: phishing_mails/25 -> similarity=323.00, yara_score=0.00, total=323.00
NO MATCH: phishing_mails/26 -> similarity=303.00, yara_score=0.00, total=303.00
NO MATCH: phishing_mails/27 -> similarity=313.00, yara_score=0.00, total=313.00
MATCH: phishing_mails/28 -> similarity=1222.00, yara_score=0.00, total=1222.00
MATCH: phishing_mails/29 -> similarity=813.00, yara_score=0.00, total=813.00
NO MATCH: phishing_mails/30 -> similarity=273.00, yara_score=0.00, total=273.00
NO MATCH: phishing_mails/31 -> similarity=434.00, yara_score=0.00, total=434.00
MATCH: phishing_mails/32 -> similarity=918.00, yara_score=0.00, total=918.00
NO MATCH: phishing_mails/33 -> similarity=294.00, yara_score=0.00, total=294.00
NO MATCH: phishing_mails/34 -> similarity=459.00, yara_score=0.00, total=459.00
MATCH: phishing_mails/35 -> similarity=673.00, yara_score=0.00, total=673.00
NO MATCH: phishing_mails/36 -> similarity=297.00, yara_score=0.00, total=297.00
MATCH: phishing_mails/37 -> similarity=505.00, yara_score=0.00, total=505.00
MATCH: phishing_mails/38 -> similarity=687.00, yara_score=0.00, total=687.00
MATCH: phishing_mails/39 -> similarity=488.00, yara_score=0.00, total=488.00
MATCH: phishing_mails/40 -> similarity=508.00, yara_score=0.00, total=508.00
MATCH: phishing_mails/41 -> similarity=671.00, yara_score=0.00, total=671.00
NO MATCH: phishing_mails/42 -> similarity=375.00, yara_score=0.00, total=375.00
NO MATCH: phishing_mails/43 -> similarity=239.00, yara_score=0.00, total=239.00
MATCH: phishing_mails/44 -> similarity=549.00, yara_score=0.00, total=549.00
MATCH: phishing_mails/45 -> similarity=1294.00, yara_score=0.00, total=1294.00
MATCH: phishing_mails/46 -> similarity=3180.00, yara_score=0.00, total=3180.00
NO MATCH: phishing_mails/47 -> similarity=394.00, yara_score=0.00, total=394.00
MATCH: phishing_mails/48 -> similarity=1341.00, yara_score=0.00, total=1341.00
MATCH: phishing_mails/49 -> similarity=581.00, yara_score=0.00, total=581.00
MATCH: phishing_mails/50 -> similarity=719.00, yara_score=0.00, total=719.00
NO MATCH: phishing_mails/51 -> similarity=434.00, yara_score=0.00, total=434.00
NO MATCH: phishing_mails/52 -> similarity=440.00, yara_score=0.00, total=440.00
MATCH: phishing_mails/53 -> similarity=1717.00, yara_score=0.00, total=1717.00
MATCH: phishing_mails/54 -> similarity=1276.00, yara_score=0.00, total=1276.00
NO MATCH: phishing_mails/55 -> similarity=325.00, yara_score=0.00, total=325.00
MATCH: phishing_mails/56 -> similarity=506.00, yara_score=0.00, total=506.00
NO MATCH: phishing_mails/57 -> similarity=298.00, yara_score=0.00, total=298.00
MATCH: phishing_mails/58 -> similarity=1317.00, yara_score=0.00, total=1317.00
NO MATCH: phishing_mails/59 -> similarity=445.00, yara_score=0.00, total=445.00
MATCH: phishing_mails/60 -> similarity=718.00, yara_score=0.00, total=718.00
NO MATCH: phishing_mails/61 -> similarity=436.00, yara_score=0.00, total=436.00
MATCH: phishing_mails/62 -> similarity=1270.00, yara_score=0.00, total=1270.00
MATCH: phishing_mails/63 -> similarity=2821.00, yara_score=0.00, total=2821.00
NO MATCH: phishing_mails/64 -> similarity=423.00, yara_score=0.00, total=423.00
MATCH: phishing_mails/65 -> similarity=2574.00, yara_score=0.00, total=2574.00
NO MATCH: phishing_mails/66 -> similarity=328.00, yara_score=0.00, total=328.00
MATCH: phishing_mails/67 -> similarity=1671.00, yara_score=0.00, total=1671.00
MATCH: phishing_mails/68 -> similarity=558.00, yara_score=0.00, total=558.00
MATCH: phishing_mails/69 -> similarity=636.00, yara_score=0.00, total=636.00
NO MATCH: phishing_mails/70 -> similarity=298.00, yara_score=0.00, total=298.00
MATCH: phishing_mails/71 -> similarity=801.00, yara_score=0.00, total=801.00
NO MATCH: phishing_mails/72 -> similarity=462.00, yara_score=0.00, total=462.00
MATCH: phishing_mails/73 -> similarity=1271.00, yara_score=0.00, total=1271.00
MATCH: phishing_mails/74 -> similarity=1065.00, yara_score=0.00, total=1065.00
MATCH: phishing_mails/75 -> similarity=945.00, yara_score=0.00, total=945.00
MATCH: phishing_mails/76 -> similarity=681.00, yara_score=0.00, total=681.00
MATCH: phishing_mails/77 -> similarity=1300.00, yara_score=0.00, total=1300.00
NO MATCH: phishing_mails/78 -> similarity=333.00, yara_score=0.00, total=333.00
NO MATCH: phishing_mails/79 -> similarity=438.00, yara_score=0.00, total=438.00
MATCH: phishing_mails/80 -> similarity=1252.00, yara_score=0.00, total=1252.00
MATCH: phishing_mails/81 -> similarity=701.00, yara_score=0.00, total=701.00
MATCH: phishing_mails/82 -> similarity=790.00, yara_score=0.00, total=790.00
NO MATCH: phishing_mails/83 -> similarity=386.00, yara_score=0.00, total=386.00
MATCH: phishing_mails/84 -> similarity=988.00, yara_score=0.00, total=988.00
MATCH: phishing_mails/85 -> similarity=1526.00, yara_score=0.00, total=1526.00
MATCH: phishing_mails/86 -> similarity=658.00, yara_score=0.00, total=658.00
MATCH: phishing_mails/87 -> similarity=1695.00, yara_score=0.00, total=1695.00
NO MATCH: phishing_mails/88 -> similarity=398.00, yara_score=0.00, total=398.00
NO MATCH: phishing_mails/89 -> similarity=356.00, yara_score=0.00, total=356.00
MATCH: phishing_mails/90 -> similarity=838.00, yara_score=0.00, total=838.00
MATCH: phishing_mails/91 -> similarity=1616.00, yara_score=0.00, total=1616.00
MATCH: phishing_mails/92 -> similarity=1253.00, yara_score=0.00, total=1253.00
MATCH: phishing_mails/93 -> similarity=523.00, yara_score=0.00, total=523.00
