MATCH: phishing_mails/0 -> similarity=791.00, yara_score=0.00, total=791.00
NO MATCH: phishing_mails/1 -> similarity=557.00, yara_score=0.00, total=557.00
MATCH: phishing_mails/2 -> similarity=725.00, yara_score=0.00, total=725.00
MATCH: phishing_mails/3 -> similarity=8022.00, yara_score=0.00, total=8022.00
MATCH: phishing_mails/4 -> similarity=774.00, yara_score=0.00, total=774.00
MATCH: phishing_mails/5 -> similarity=1975.00, yara_score=0.00, total=1975.00
MATCH: phishing_mails/6 -> similarity=2537.00, yara_score=0.00, total=2537.00
NO MATCH: phishing_mails/7 -> similarity=484.00, yara_score=0.00, total=484.00
MATCH: phishing_mails/8 -> similarity=1460.00, yara_score=0.00, total=1460.00
MATCH: phishing_mails/9 -> similarity=933.00, yara_score=0.00, total=933.00
MATCH: phishing_mails/10 -> similarity=813.00, yara_score=0.00, total=813.00
NO MATCH: phishing_mails/11 -> similarity=674.00, yara_score=0.00, total=674.00
MATCH: phishing_mails/12 -> similarity=825.00, yara_score=0.00, total=825.00
MATCH: phishing_mails/13 -> similarity=1200.00, yara_score=0.00, total=1200.00
MATCH: phishing_mails/14 -> similarity=2928.00, yara_score=0.00, total=2928.00
MATCH: phishing_mails/15 -> similarity=1422.00, yara_score=0.00, total=1422.00
MATCH: phishing_mails/16 -> similarity=1066.00, yara_score=0.00, total=1066.00
MATCH: phishing_mails/17 -> similarity=987.00, yara_score=0.00, total=987.00
NO MATCH: phishing_mails/18 -> similarity=589.00, yara_score=0.00, total=589.00
NO MATCH: phishing_mails/19 -> similarity=675.00, yara_score=0.00, total=675.00
NO MATCH: phishing_mails/20 -> similarity=666.00, yara_score=0.00, total=666.00
MATCH: phishing_mails/21 -> similarity=1327.00, yara_score=0.00, total=1327.00
NO MATCH: phishing_mails/22 -> similarity=491.00, yara_score=0.00, total=491.00
MATCH: phishing_mails/23 -> similarity=2769.00, yara_score=0.00, total=2769.00
NO MATCH: phishing_mails/24 -> similarity=651.00, yara_score=0.00, total=651.00
NO MATCH: phishing_mails/25 -> similarity=219.00, yara_score=0.00, total=219.00
NO MATCH: phishing_mails/26 -> similarity=611.00, yara_score=0.00, total=611.00
NO MATCH: phishing_mails/27 -> similarity=470.00, yara_score=0.00, total=470.00
