NO MATCH: phishing_mails/0 -> similarity=531.00, yara_score=0.00, total=531.00
NO MATCH: phishing_mails/1 -> similarity=371.00, yara_score=0.00, total=371.00
MATCH: phishing_mails/2 -> similarity=1686.00, yara_score=0.00, total=1686.00
NO MATCH: phishing_mails/3 -> similarity=604.00, yara_score=0.00, total=604.00
NO MATCH: phishing_mails/4 -> similarity=520.00, yara_score=0.00, total=520.00
MATCH: phishing_mails/5 -> similarity=1228.00, yara_score=0.00, total=1228.00
MATCH: phishing_mails/6 -> similarity=677.00, yara_score=0.00, total=677.00
NO MATCH: phishing_mails/7 -> similarity=428.00, yara_score=0.00, total=428.00
NO MATCH: phishing_mails/8 -> similarity=415.00, yara_score=0.00, total=415.00
NO MATCH: phishing_mails/9 -> similarity=535.00, yara_score=0.00, total=535.00
NO MATCH: phishing_mails/10 -> similarity=475.00, yara_score=0.00, total=475.00
NO MATCH: phishing_mails/11 -> similarity=284.00, yara_score=0.00, total=284.00
MATCH: phishing_mails/12 -> similarity=1193.00, yara_score=0.00, total=1193.00
MATCH: phishing_mails/13 -> similarity=827.00, yara_score=0.00, total=827.00
MATCH: phishing_mails/14 -> similarity=969.00, yara_score=0.00, total=969.00
NO MATCH: phishing_mails/15 -> similarity=487.00, yara_score=0.00, total=487.00
NO MATCH: phishing_mails/16 -> similarity=592.00, yara_score=0.00, total=592.00
MATCH: phishing_mails/17 -> similarity=2634.00, yara_score=0.00, total=2634.00
MATCH: phishing_mails/18 -> similarity=704.00, yara_score=0.00, total=704.00
NO MATCH: phishing_mails/19 -> similarity=505.00, yara_score=0.00, total=505.00
MATCH: phishing_mails/20 -> similarity=711.00, yara_score=0.00, total=711.00
MATCH: phishing_mails/21 -> similarity=1781.00, yara_score=0.00, total=1781.00
MATCH: phishing_mails/22 -> similarity=1340.00, yara_score=0.00, total=1340.00
MATCH: phishing_mails/23 -> similarity=755.00, yara_score=0.00, total=755.00
MATCH: phishing_mails/24 -> similarity=1853.00, yara_score=0.00, total=1853.00
MATCH: phishing_mails/25 -> similarity=773.00, yara_score=0.00, total=773.00
MATCH: phishing_mails/26 -> similarity=804.00, yara_score=0.00, total=804.00
NO MATCH: phishing_mails/27 -> similarity=559.00, yara_score=0.00, total=559.00
MATCH: phishing_mails/28 -> similarity=1359.00, yara_score=0.00, total=1359.00
MATCH: phishing_mails/29 -> similarity=855.00, yara_score=0.00, total=855.00
MATCH: phishing_mails/30 -> similarity=1427.00, yara_score=0.00, total=1427.00
NO MATCH: phishing_mails/31 -> similarity=404.00, yara_score=0.00, total=404.00
